Line_number  Result_Uniprot  Result_Kegg
R   A0A0H3NKY8_A0A0H3NKY8_SALTS_IroN  K19611
1   A7MMH6_TonB-dependent siderophore receptor  K19611
3   A0A0H2XJD7_IroN K19611
5   A0A0H2XJD7_IroN K19611
7   A0A0H2XJD7_IroN K19611
9   A0A0H2XJD7_IroN K19611
11  A0A0H2XJD7_IroN K19611
13  A0A0H2XJD7_ECOK1_IroN   K19611
15  A0A0H2XJD7_IroN K19611
17  A0A0H2XJD7_IroN K19611
19  A0A0H2XJD7_IroN K19611
21  A0A0H2XJD7_IroN K19611
23  A0A0H2XJD7_IroN K19611
25  A0A0H2XJD7_ECOK1_IroN   K19611
27  A0A377ZEV8_KLEPO Outer Membrane Siderophore Receptor IroN   K19611
29  A0A0H2XJD7_IroN K19611
31  A0A0H2XJD7_IroN K19611
33  A0A0H2XJD7_IroN K19611
35  A0A0H2XJD7_IroN K19611
37  A0A0H2XJD7_IroN K19611
39  A0A0H2XJD7_IroN K19611
41  A0A0H2XJD7_ECOK1_IroN    K19611
43  A0A1B0VCF0_Putative iron outer membrane receptor!!!  BI168_gp064; Salmonella phage SJ46; putative iro...Pseudogene!!!
45  B7LIB9_IroN K19611
47  A0A0H2XJD7_IroN K19611
49  A0A0H2XJD7_IroN K19611
51  A7MMH6_TonB-dependent siderophore receptor    K19611
53  A7MMH6_TonB-dependent siderophore receptor    K19611
55  A7MMH6_TonB-dependent siderophore receptor    K19611
57  A7MMH6_TonB-dependent siderophore receptor    K19611
59  A7MMH6_TonB-dependent siderophore receptor    K19611
61  L0M531_TonB-dependent siderophore receptor  Pseudogene, K19611!!!
63  A0A0H2XJD7_IroN   K19611
65  A0A0H2XJD7_IroN   K19611
67  A0A0H2XJD7_IroN   K19611
69  A0A0H2XJD7_IroN   K19611
71  A0A0H2XJD7_IroN   K19611
73  A0A0H2XJD7_IroN   K19611
75  A0A0H2XJD7_IroN   K19611
77  A0A0H2XJD7_IroN   K19611
79  A0A0H2XJD7_IroN   K19611
81  A0A0H2XJD7_IroN   K19611
83  A0A0H2XJD7_IroN   K19611
85  A0A0H2XJD7_IroN   K19611
87  A0A0H2XJD7_IroN   K19611
89  Q32HL8_TonB-dependent outer membrane siderophore receptor protein  K19611
91  A0A0F7H7J9_Enterobactin outer-membrane receptor  K19611
93  A0A0H3GRL7_TonB dependent outer membrane siderophore receptor protein  K19611
95  A0A0H2XJD7_IroN   K19611
97  A0A0H2XJD7_IroN   K19611
99  A0A377ZEV8_Outer Membrane Siderophore Receptor IroN K19611
101 A0A0H2XJD7_IroN K19611
103 A0A0H2XJD7_IroN K19611
105 A0A0H2XJD7_IroN K19611
107 A0A0H2XJD7_IroN K19611
109 A0A0H2XJD7_IroN K19611
111 A0A0H2XJD7_IroN K19611
113 A0A0H2XJD7_IroN K19611
115 A0A0H2XJD7_IroN K19611
117 A0A0H2XJD7_IroN K19611
119 A0A0H2XJD7_IroN K19611
121 A0A0H2XJD7_IroN K19611
123 A0A0H2XJD7_IroN K19611
125 A0A0H2V663_Siderophore receptor IroN    K19611
127 A0A0H2XJD7_IroN K19611
129 A0A0H2XJD7_IroN K19611
131 A0A0H2XJD7_IroN K19611
133 A0A0H2XJD7_IroN K19611
135 A0A0H2XJD7_IroN K19611
137 A0A1B0VCF0_Putative iron outer membrane receptor!!! BI168_gp064; Salmonella phage SJ46; putative iro...Pseudogene!!!
139 A0A1B0VCF0_Putative iron outer membrane receptor!!! BI168_gp064; Salmonella phage SJ46; putative iro...Pseudogene!!!
141 A0A1B0VCF0_Putative iron outer membrane receptor!!! BI168_gp064; Salmonella phage SJ46; putative iro...Pseudogene!!!
143 A0A1B0VCF0_Putative iron outer membrane receptor!!! BI168_gp064; Salmonella phage SJ46; putative iro...Pseudogene!!!
145 A0A1B0VCF0_Putative iron outer membrane receptor!!! BI168_gp064; Salmonella phage SJ46; putative iro...Pseudogene!!!
147 B7LIB9_IroN K19611
149 A0A0H2XJD7_IroN K19611
